"activity","type","Control summary-Main-begin editing","Control summary-Main-finish editing","Control summary-Main-initialize","Control summary-Main-save","Control summary-Main-take original document","Department control parcels-Main-begin editing","Department control parcels-Main-insert document","Department control parcels-Main-performed","Department control parcels-Main-save","Entitlement application-Change-begin editing","Entitlement application-Change-calculate","Entitlement application-Change-decide","Entitlement application-Change-finish editing","Entitlement application-Change-initialize","Entitlement application-Change-insert document","Entitlement application-Change-remove document","Entitlement application-Change-revoke decision","Entitlement application-Change-revoke withdrawal","Entitlement application-Change-withdraw","Entitlement application-Main-begin editing","Entitlement application-Main-calculate","Entitlement application-Main-decide","Entitlement application-Main-finish editing","Entitlement application-Main-initialize","Entitlement application-Main-insert document","Entitlement application-Main-mail valid","Entitlement application-Main-revoke decision","Entitlement application-Main-save","Entitlement application-Objection-approve","Entitlement application-Objection-begin admissibility check","Entitlement application-Objection-begin editing","Entitlement application-Objection-calculate","Entitlement application-Objection-check admissibility","Entitlement application-Objection-decide","Entitlement application-Objection-finish editing","Entitlement application-Objection-initialize","Entitlement application-Objection-insert document","Geo parcel document-Declared-begin editing","Geo parcel document-Declared-calculate","Geo parcel document-Declared-create","Geo parcel document-Declared-finish editing","Geo parcel document-Declared-finish pre-check","Geo parcel document-Declared-restart editing","Geo parcel document-Main-calculate protocol","Geo parcel document-Main-clear","Geo parcel document-Main-initialize","Geo parcel document-Main-insert document","Geo parcel document-Main-save","Geo parcel document-Reported-begin editing","Geo parcel document-Reported-calculate","Geo parcel document-Reported-finish editing","Geo parcel document-Reported-insert document","Inspection-On-Site-begin editing","Inspection-On-Site-begin preparations","Inspection-On-Site-cancel offline","Inspection-On-Site-finish editing","Inspection-On-Site-finish preparations","Inspection-On-Site-initialize","Inspection-On-Site-performed","Inspection-On-Site-performed offline","Inspection-On-Site-plan","Inspection-On-Site-prepare offline","Inspection-On-Site-save","Inspection-Remote-abort external","Inspection-Remote-begin editing","Inspection-Remote-begin preparations","Inspection-Remote-finish editing","Inspection-Remote-finish preparations","Inspection-Remote-initialize","Inspection-Remote-performed","Inspection-Remote-plan","Inspection-Remote-prepare external","Inspection-Remote-save","Parcel document-Main-begin editing","Parcel document-Main-check","Parcel document-Main-discard","Parcel document-Main-finish editing","Parcel document-Main-initialize","Parcel document-Main-insert document","Parcel document-Main-save","Payment application-Application-abort payment","Payment application-Application-begin editing","Payment application-Application-begin payment","Payment application-Application-calculate","Payment application-Application-decide","Payment application-Application-finish editing","Payment application-Application-finish payment","Payment application-Application-initialize","Payment application-Application-insert document","Payment application-Application-mail income","Payment application-Application-mail valid","Payment application-Application-remove document","Payment application-Application-revoke decision","Payment application-Change-abort payment","Payment application-Change-begin editing","Payment application-Change-begin payment","Payment application-Change-calculate","Payment application-Change-decide","Payment application-Change-finish editing","Payment application-Change-finish payment","Payment application-Change-initialize","Payment application-Change-insert document","Payment application-Main-insert document","Payment application-Main-remove document","Payment application-Main-save","Payment application-Objection-abort payment","Payment application-Objection-approve","Payment application-Objection-begin admissibility check","Payment application-Objection-begin editing","Payment application-Objection-begin editing from refused","Payment application-Objection-begin payment","Payment application-Objection-calculate","Payment application-Objection-check admissibility","Payment application-Objection-decide","Payment application-Objection-finish editing","Payment application-Objection-finish payment","Payment application-Objection-initialize","Payment application-Objection-insert document","Payment application-Objection-refuse","Reference alignment-Main-initialize","Reference alignment-Main-insert document","Reference alignment-Main-performed","Reference alignment-Main-remove document","Reference alignment-Main-save"
"Entitlement application-Main-calculate","EFR_S","<","<","<","||","<","||","<","||","||",">",">",">",">",">","||",">",">",">",">","||","@","||","||","<",">","<","||","||",">",">",">",">",">",">",">",">",">","||","<","<","||","","","","","<","","||","","","","","||","||","","||","||","||","||","||","||","<","||","<","||","<","||","<","<","<","<","<","<","<","||","<","||","<","||","||",">","||",">","||","||","||",">","||",">","<","<",">",">",">",">",">",">",">",">",">",">",">","||",">","||",">",">",">",">",">",">",">",">",">",">",">",">",">",">","<","||","<","<","||"
"Entitlement application-Main-decide","EFR_N","144","144","144","68","1","33","1","144","24","32","48","20","17","31","58","10","1","1","7","9","8","16","10","144","11","288","1","27","3","3","3","6","3","4","3","3","5","1","20","15","5","0","0","0","0","9","0","3","0","0","0","0","2","1","0","1","1","1","1","7","1","7","1","14","2","21","9","21","7","7","7","21","33","135","23","1","80","135","13","79","199","2","343","233","214","214","144","144","14","144","144","2","69","6","27","20","40","17","14","14","27","14","40","13","24","3","3","8","6","1","7","15","8","7","7","4","4","4","1","144","16","144","1","100"
"Entitlement application-Main-decide","EFR_S","<","<","<","||","<","||","<","<","||",">",">",">",">",">","||",">",">",">",">","||","||","@","||","<",">","<","||","||",">",">",">",">",">",">",">",">",">","||","<","<","||","","","","","<","","||","","","","","<","||","","||","||","||","||","<","||","<","||","<","<","<","<","<","<","<","<","<","<","<","||","<","||","<","||","||",">","||",">","||","||","||",">","<",">","<","<",">",">",">",">",">",">",">",">",">",">",">","||",">","||",">",">",">",">",">",">",">",">",">",">",">",">",">",">","<","||","<","<","||"
"Entitlement application-Main-finish editing","EFR_N","539","539","539","317","2","138","5","539","136","116","180","84","72","112","231","43","4","4","9","846","868","559","851","539","14","1078","4","96","12","12","12","21","12","15","12","12","22","1","17","13","5","0","0","0","0","8","0","3","0","0","0","0","8","8","0","8","8","8","8","28","8","28","16","66","4","99","4","99","33","33","33","99","154","531","106","6","357","531","53","356","770","99","1309","1532","795","795","539","87","24","539","539","7","249","27","108","83","157","62","56","56","108","56","157","52","92","11","12","28","24","4","27","60","28","28","28","16","16","16","4","539","67","539","4","362"
"Entitlement application-Main-finish editing","EFR_S","<","<","<","||","<","||","<","<","||",">",">",">",">",">","||",">",">",">",">","||","||","||","@","<",">","<","||","||",">",">",">",">",">",">",">",">",">","||","<","<","||","","","","","<","","||","","","","","<","||","","||","||","||","||","<","||","<","||","<","||","<","||","<","<","<","<","<","<","<","||","<","||","<","||","||",">","||",">","||","||","||",">","||",">","<","<",">",">",">",">",">",">",">",">",">",">",">","||",">","||",">",">",">",">",">",">",">",">",">",">",">",">",">",">","<","||","<","<","||"
"Entitlement application-Main-initialize","EFR_N","138","138","138","116","1","55","1","8","41","27","43","20","17","26","54","10","1","1","2","537","658","144","539","0","6","276","1","46","3","3","3","6","3","4","3","3","5","3","5","5","7","0","0","0","0","4","0","4","0","0","0","0","1","4","0","7","4","2","2","4","2","1","43","14","1","21","1","21","7","7","7","21","33","134","31","1","118","134","15","115","198","140","336","604","203","203","138","137","9","138","138","2","63","6","27","20","40","17","14","14","27","14","41","13","25","3","3","8","6","1","7","15","8","7","7","4","4","4","1","138","18","138","1","136"
"Entitlement application-Main-initialize","EFR_S","<","<","<","||","<","||","<","||","||",">",">",">",">",">",">",">",">",">",">",">",">",">",">","",">","<",">",">",">",">",">",">",">",">",">",">",">","||","<","<","||","","","","","<","","||","","","","","||","||","","||","||","||","||","||","||","||","||","<","||","<","||","<","<","<","<","<","<","<","||","<","||","<","||","||",">",">",">",">",">",">",">","||",">","<","<",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">","<","||","<","<","||"
"Entitlement application-Main-insert document","EFR_N","6","6","6","1","0","4","0","6","2","2","3","0","0","2","3","1","0","0","1","14","32","11","14","6","0","12","0","3","1","1","1","1","1","1","1","1","1","8","5","5","15","0","0","0","0","4","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","7","2","0","1","2","6","6","7","5","5","6","6","5","6","6","0","2","0","1","1","2","3","1","1","1","1","3","0","3","2","1","1","1","0","3","3","1","2","1","1","1","1","0","6","0","6","0","7"
"Entitlement application-Main-insert document","EFR_S","<","<","<","<","","<","","<","<",">",">","","",">","||",">","","",">","<","<","<","<","<","","<","","||",">",">",">",">",">",">",">",">",">","<","<","<","<","","","","","<","","<","","","","","","","","","","","","","","","","","","","","","","","","","","<","<","","<","<","","<","||","<","||","||","||","||",">","<","||","<","<","","||","",">",">",">",">",">",">",">",">","||","","||",">",">",">",">","",">",">",">",">",">",">",">",">","","<","","<","","<"
"Entitlement application-Main-mail valid","EFR_N","276","276","276","402","2","118","2","276","88","54","86","40","34","52","108","20","2","2","4","1074","1316","288","1078","276","12","138","2","92","6","6","6","12","6","8","6","6","10","16","10","10","30","0","0","0","0","8","0","18","0","0","0","0","4","24","0","26","24","22","8","14","22","14","640","28","4","42","18","42","14","14","14","42","66","268","238","2","844","268","164","550","396","280","672","1208","406","406","276","276","18","22","117","4","126","12","54","40","80","34","28","28","54","28","82","26","50","6","6","16","12","2","14","30","16","14","14","8","8","8","2","276","60","276","2","490"
"Entitlement application-Main-mail valid","EFR_S",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">","@",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">","","","","",">","",">","","","","",">",">","",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">","||","||",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">"
"Entitlement application-Main-revoke decision","EFR_N","1","1","1","1","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","4","1","1","1","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","1","1","1","1","2","2","1","1","1","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","2"
"Entitlement application-Main-revoke decision","EFR_S","<","<","<","||","",">","","<",">","","","","","","","","","","","<","||","||","||","<","","<","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","<","<","","||","<","<","||",">","<",">","||","||","||",">","<","","<","<","",">","","","","","","","","","","","","","","","","","","","","","","","","","","","<","<","<","","||"
"Entitlement application-Main-save","EFR_N","46","46","46","7","0","13","0","46","5","10","17","8","5","10","22","7","1","1","1","46","118","24","72","46","4","92","0","22","6","6","6","9","6","7","6","6","14","10","5","7","17","0","0","0","0","6","0","9","0","0","0","0","1","6","0","7","6","6","3","3","6","3","302","0","0","0","0","0","0","0","0","0","0","40","5","1","19","40","5","22","30","11","55","101","42","42","26","5","6","46","46","0","17","3","17","14","19","13","7","11","17","11","25","10","25","3","4","4","7","1","9","14","5","8","8","6","7","6","1","46","4","46","0","8"
"Entitlement application-Main-save","EFR_S","<","<","<","||","","||","","<","||","||","||","||","||","||","||","||","<","||","||","||","||","||","||","<","||","<","","@","<","<","<","<","<","<","<","<","<","<","<","<","<","","","","","<","","<","","","","","<","<","","<","<","<","<","<","<","<","<","","","","","","","","","","","<","||","<","||","<","||","||","||","||","||","||","||","||","||","||",">","<","<","","||",">","||","||","||","||","||","||","||","||","||","||","||",">","||","||","||","<","||","||","||","||","||","||","<","||","<","<","||","<","","||"
"Entitlement application-Objection-approve","EFR_N","3","3","3","5","0","3","0","3","3","2","2","1","1","2","5","1","0","0","0","12","15","3","12","3","1","6","0","6","0","3","3","5","3","4","3","3","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","5","3","2","5","5","3","8","12","5","5","3","3","0","3","3","0","2","0","1","0","1","0","0","0","1","0","2","1","6","3","3","7","3","0","6","7","7","4","3","3","3","3","0","3","3","3","0","4"
"Entitlement application-Objection-approve","EFR_S","<","<","<","||","","||","","<","||",">",">",">",">",">","||",">","","","","<","<","<","<","<","<","<","",">","","<",">","||","<",">",">","<",">","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","<","||","","||","<","<","||","<","<","<","<","<","<","<","<","","<","<","","<","",">","",">","","","",">","","||",">",">",">",">",">",">","",">",">",">",">",">",">","<",">","","<","<","<","","||"
"Entitlement application-Objection-begin admissibility check","EFR_N","3","3","3","5","0","3","0","3","3","2","2","1","1","2","5","1","0","0","0","12","15","3","12","3","1","6","0","6","3","0","3","6","3","4","3","3","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","5","3","2","5","5","3","8","12","5","5","3","3","0","3","3","0","2","0","1","0","1","0","0","0","1","0","2","1","6","3","3","7","3","0","6","7","7","4","3","3","3","3","0","3","3","3","0","4"
"Entitlement application-Objection-begin admissibility check","EFR_S","<","<","<","||","","||","","<","||",">",">",">",">",">","||",">","","","","<","<","<","<","<","<","<","",">",">","",">",">",">",">",">","<",">","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","<","||","","||","<","<","||","<","<","<","<","<","<","<","<","","<","<","","<","",">","",">","","","",">","","||",">",">",">",">",">",">","",">",">",">",">",">",">","<",">","","<","<","<","","||"
"Entitlement application-Objection-begin editing","EFR_N","3","3","3","5","0","3","0","3","3","2","2","1","1","2","5","1","0","0","0","12","15","3","12","3","1","6","0","6","3","3","0","4","3","4","3","3","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","5","3","2","5","5","3","8","12","5","5","3","3","0","3","3","0","2","0","1","0","1","0","0","0","1","0","2","1","6","3","3","7","3","0","6","7","7","4","3","3","3","3","0","3","3","3","0","4"
"Entitlement application-Objection-begin editing","EFR_S","<","<","<","||","","||","","<","||",">",">",">",">",">","||",">","","","","<","<","<","<","<","<","<","",">","<","<","","||","<",">",">","<",">","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","<","||","","||","<","<","||","<","<","<","<","<","<","<","<","","<","<","","<","",">","",">","","","",">","","||",">",">",">",">",">",">","",">",">",">",">",">",">","<",">","","<","<","<","","||"
"Entitlement application-Objection-calculate","EFR_N","6","6","6","12","0","5","0","6","5","2","2","1","1","2","5","1","0","0","0","21","27","6","21","6","1","12","0","9","1","6","2","6","6","10","6","6","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","2","0","12","6","5","12","11","6","17","21","8","8","6","6","0","6","6","0","2","0","1","0","1","0","0","0","1","0","2","1","12","6","6","18","6","0","12","13","19","7","6","6","6","6","0","6","6","6","0","15"
"Entitlement application-Objection-calculate","EFR_S","<","<","<","||","","||","","<","||",">",">",">",">",">","||",">","","","","<","<","<","<","<","<","<","",">","||","<","||","@","<",">",">","<",">","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","<","||","","||","<","<","||","<","<","<","<","<","<","<","<","","<","<","","<","",">","",">","","","",">","","||",">",">",">",">","||",">","",">",">","||",">",">",">","<",">","","<","<","<","","||"
"Entitlement application-Objection-check admissibility","EFR_N","3","3","3","5","0","3","0","3","3","2","2","1","1","2","5","1","0","0","0","12","15","3","12","3","1","6","0","6","3","3","3","6","0","4","3","3","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","5","3","2","5","5","3","8","12","5","5","3","3","0","3","3","0","2","0","1","0","1","0","0","0","1","0","2","1","6","3","3","7","3","0","6","7","7","4","3","3","3","3","0","3","3","3","0","4"
"Entitlement application-Objection-check admissibility","EFR_S","<","<","<","||","","||","","<","||",">",">",">",">",">","||",">","","","","<","<","<","<","<","<","<","",">",">","<",">",">","",">",">","<",">","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","<","||","","||","<","<","||","<","<","<","<","<","<","<","<","","<","<","","<","",">","",">","","","",">","","||",">",">",">",">",">",">","",">",">",">",">",">",">","<",">","","<","<","<","","||"
"Entitlement application-Objection-decide","EFR_N","4","4","4","4","0","2","0","4","2","2","2","1","1","2","5","1","0","0","0","15","19","4","15","4","1","8","0","7","4","4","4","10","4","1","4","4","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","0","4","4","3","4","7","4","11","15","6","6","4","4","0","4","4","0","2","0","1","0","1","0","0","0","1","0","2","1","8","4","4","4","4","0","8","9","6","5","4","4","4","4","0","4","4","4","0","6"
"Entitlement application-Objection-decide","EFR_S","<","<","<","||","","||","","<","||",">",">",">",">",">","||",">","","","","<","<","<","<","<","<","<","",">","<","<","<","<","<","@","<","<",">","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","<","||","","||","<","<","||","<","<","<","<","<","<","<","<","","<","<","","<","",">","",">","","","",">","","||",">",">",">",">","||",">","",">",">","||",">",">",">","<",">","","<","<","<","","||"
"Entitlement application-Objection-finish editing","EFR_N","3","3","3","3","0","2","0","3","2","2","2","1","1","2","5","1","0","0","0","12","15","3","12","3","1","6","0","6","3","3","3","6","3","4","0","3","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","3","3","2","3","5","3","8","12","5","5","3","3","0","3","3","0","2","0","1","0","1","0","0","0","1","0","2","1","6","3","3","3","3","0","6","7","4","4","3","3","3","3","0","3","3","3","0","3"
"Entitlement application-Objection-finish editing","EFR_S","<","<","<","||","","||","","<","||",">",">",">",">",">","||",">","","","","<","<","<","<","<","<","<","",">","<","<","<","<","<",">","","<",">","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","<","||","","||","<","<","||","<","<","<","<","<","<","<","<","","<","<","","<","",">","",">","","","",">","","||",">",">",">",">","||",">","",">",">","||",">",">",">","<",">","","<","<","<","","||"
"Entitlement application-Objection-initialize","EFR_N","3","3","3","10","0","4","0","3","4","2","2","1","1","2","8","1","0","0","0","12","15","3","12","3","1","6","0","6","3","3","3","6","3","4","3","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","0","12","3","2","14","5","3","8","12","5","5","3","3","0","3","3","0","2","0","1","0","1","0","0","0","1","0","5","1","6","3","3","7","3","0","6","7","7","4","3","3","3","3","0","3","1","3","0","20"
"Entitlement application-Objection-initialize","EFR_S","<","<","<","||","","||","","<","||",">",">",">",">",">",">",">","","","","<","<","<","<","<","<","<","",">",">",">",">",">",">",">",">","",">","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","<","||","","||","<","<","||","<","<","<","<","<","<","<","<","","<","<","","<","",">","",">","","","",">","",">",">",">",">",">",">",">","",">",">",">",">",">",">",">",">","","<","||","<","","||"
"Entitlement application-Objection-insert document","EFR_N","5","5","5","6","0","6","0","5","6","6","6","3","3","6","15","3","0","0","0","22","25","5","22","5","1","10","0","14","5","5","5","8","5","6","5","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","6","5","4","6","9","5","14","22","9","9","5","5","0","5","5","0","4","0","3","0","3","0","0","0","3","0","6","3","12","3","5","5","5","0","8","11","6","6","5","5","5","5","0","5","7","5","0","3"
"Entitlement application-Objection-insert document","EFR_S","<","<","<","||","","||","","<","||",">",">",">",">",">","||",">","","","","<","<","<","<","<","<","<","",">","<","<","<","<","<","<","<","<","@","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","<","||","","||","<","<","||","<","<","<","<","<","<","<","<","","<","<","","<","",">","",">","","","",">","","||",">",">",">",">","||",">","",">",">","||",">",">",">","<",">","","<","<","<","","||"
"Geo parcel document-Declared-begin editing","EFR_N","268","268","268","106","10","109","2","183","87","6","9","0","0","6","6","3","0","0","3","19","42","22","19","5","8","16","0","10","0","0","0","0","0","0","0","0","0","809","610","684","1448","540","27","6","158","582","140","1198","1694","2225","1903","24","71","67","3","140","67","64","29","40","64","43","1535","119","31","154","76","154","35","45","35","154","290","0","0","0","0","0","0","0","210","1738","791","3474","841","2077","581","488","916","19","582","0","257","0","50","12","75","18","12","12","50","15","64","20","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","436","46","436","0","209"
"Geo parcel document-Declared-begin editing","EFR_S","||","||","||","||",">","||",">","||","||",">",">","","",">",">",">","","",">","||","||","||","||","||",">","<","",">","","","","","","","","","","@","||","||","||","||",">",">","||","<","||","||","||","||","||","||","||","||","||","||","||","||","||","||","||","||","||","||","||","||","||","||","||","||","||","||","||","","","","","","","",">","||",">","||",">","||",">","||",">","||","<","",">","",">",">",">",">",">",">",">",">",">",">",">","","","","","","","","","","","","","","","||","||","||","","||"
"Geo parcel document-Declared-calculate","EFR_N","270","270","270","129","4","135","1","117","106","4","5","0","0","4","4","1","0","0","3","17","27","20","17","5","5","10","0","5","0","0","0","0","0","0","0","0","0","257","443","12","748","85","29","26","39","270","55","722","368","555","368","6","50","24","3","74","24","19","10","14","19","17","714","25","8","32","21","32","21","13","21","32","38","0","0","0","0","0","0","0","168","644","429","1876","457","914","261","170","337","2","270","0","196","0","61","11","101","13","11","11","61","18","72","18","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","68","80","68","0","212"
"Geo parcel document-Declared-calculate","EFR_S","<","<","<","||",">","||",">","||","||",">",">","","",">",">",">","","",">",">",">",">",">",">",">","<","",">","","","","","","","","","","||","@","||","||","||","||","||","<","<","||","||","||","||","||",">","||","||",">","||","||","||","||","||","||","||","||","||","||","||","||","||","<","||","<","||","||","","","","","","","","||","||","||","||","||","||","||","||","||","||","<","","||","","||",">","||",">",">",">","||",">","||",">",">","","","","","","","","","","","","","","","||","||","||","","||"
"Geo parcel document-Declared-create","EFR_N","186","186","186","74","11","68","1","179","46","3","4","0","0","3","3","1","0","0","2","13","27","15","13","5","5","10","0","7","0","0","0","0","0","0","0","0","0","536","477","210","762","250","18","4","113","403","83","798","1223","1489","1286","11","38","53","6","92","53","51","21","33","51","39","1382","118","25","152","61","152","34","36","34","152","260","0","0","0","0","0","0","0","149","1314","551","2598","591","1506","402","402","628","12","403","0","187","0","34","10","61","12","10","10","34","14","42","12","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","395","30","395","0","150"
"Geo parcel document-Declared-create","EFR_S","||","||","||",">",">",">",">","||",">",">",">","","",">",">",">","","",">",">",">",">",">",">",">","<","",">","","","","","","","","","","||","||","@","||","||",">",">","||","<","||","||",">",">","||",">",">","||","||",">","||","||",">",">","||","||","||","||",">","||",">","||","||",">","||","||","||","","","","","","","",">","||",">","||",">",">",">","||",">","||","<","",">","",">",">",">",">",">",">",">",">",">",">",">","","","","","","","","","","","","","","","||",">","||","",">"
"Geo parcel document-Declared-finish editing","EFR_N","137","137","137","139","7","163","2","194","127","12","15","0","0","12","12","3","0","0","9","46","69","55","46","8","15","30","0","17","0","0","0","0","0","0","0","0","0","646","421","394","891","181","31","12","90","605","102","971","1521","1981","1705","24","68","56","3","125","56","49","24","32","49","35","1312","94","26","120","63","120","17","37","17","120","186","0","0","0","0","0","0","0","238","1690","826","3596","893","2109","588","451","884","11","605","0","303","0","69","17","115","23","17","17","69","24","86","23","46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","335","61","335","0","257"
"Geo parcel document-Declared-finish editing","EFR_S","||","||","||","||",">","||",">","||","||",">",">","","",">",">",">","","",">","||","||","||","||","||",">","<","",">","","","","","","","","","","||","||","||","@","||","||","||","||","<","||","||","||","||","||","||","||","||","||","||","||","||","||","||","||","||","||","||","||","||","||","||","||","||","||","||","||","","","","","","","","||","||","||","||","||","||","||","||","||","||","<","","||","","||",">","||",">",">",">","||",">","||",">",">","","","","","","","","","","","","","","","||","||","||","","||"
"Geo parcel document-Declared-finish pre-check","EFR_N","99","99","99","18","9","16","0","12","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","370","90","294","567","174","2","0","101","239","44","339","1191","1489","1374","16","23","34","3","58","34","34","14","21","34","24","696","65","16","86","40","86","19","24","19","86","157","0","0","0","0","0","0","0","33","673","268","891","247","695","235","225","463","10","239","0","12","0","3","1","9","1","1","1","3","2","6","2","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","219","13","219","0","32"
"Geo parcel document-Declared-finish pre-check","EFR_S","||","||","||","||",">","||","","<","||","","","","","","","","","","","","","","","","","","","","","","","","","","","","","||","||","||","||","@","||","","||","<","||","||","||","||","||",">",">","||","||","||","||","||","||",">","||","||","||","||","||","||","||","||","||","||","||","||","||","","","","","","","","||","||","||","||","||","||","||","||","||","||","<","","||","",">",">",">",">",">",">",">",">",">",">",">","","","","","","","","","","","","","","","||",">","||","","||"
"Geo parcel document-Declared-restart editing","EFR_N","11","11","11","16","0","10","0","11","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27","15","18","17","9","2","2","0","11","2","20","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","9","21","26","21","23","11","11","11","11","11","0","11","0","2","0","3","0","0","0","2","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","7","11","0","10"
"Geo parcel document-Declared-restart editing","EFR_S","<","<","<","||","","||","","<","||","","","","","","","","","","","","","","","","","","","","","","","","","","","","","<","||","<","||","||","@",">","","<","||","||",">","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",">","||",">","||","||","||",">","<",">","<","<","","||","",">","",">","","","",">","",">",">",">","","","","","","","","","","","","","","","<","||","<","","||"
"Geo parcel document-Main-calculate protocol","EFR_N","2","2","2","2","0","2","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","2","4","2","0","2","1","0","2","2","3","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","4","22","4","4","2","2","2","2","2","0","2","0","2","0","2","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","2","0","2"
"Geo parcel document-Main-calculate protocol","EFR_S","<","<","<","<","","<","","<","<","","","","","","","","","","","","","","","","","","","","","","","","","","","","","<","||","<","||","","<","@","","<","<","||","<","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","<","<","<","<","<","<","<","<","<","<","<","","<","","<","","<","","","","<","","<","","","","","","","","","","","","","","","","","<","||","<","","||"
"Geo parcel document-Main-clear","EFR_N","56","56","56","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","234","39","115","179","118","0","0","49","56","13","95","297","411","320","1","16","19","0","35","19","19","9","10","19","10","421","39","6","52","19","52","13","13","13","52","91","0","0","0","0","0","0","0","4","160","60","223","56","160","56","56","112","4","56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","56","0","56","0","0"
"Geo parcel document-Main-clear","EFR_S","<","<","<","",">","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","||",">","||","||","||","","","@","<",">",">",">",">","||",">",">",">","",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">","","","","","","","",">",">",">",">",">",">",">",">",">","||","<","","","","","","","","","","","","","","","","","","","","","","","","","","","","",">","",">","",""
